topic_id,series,title,hook,object,mechanism,target_user,risk_level,status,created_at
T001,价格差异类,咖啡为什么能卖6块也能卖58,咖啡，6、35、58，买这三杯的可能是同一个人,咖啡,场景定价,每天都买咖啡，但不知道自己到底在为什么付钱,medium,produced,
T002,低价商业模式类,蜜雪冰城为什么这么便宜还赚钱,柠檬水，4、6、10，便宜不一定少赚钱，可能是赚钱方式换了,柠檬水,低价引流,觉得便宜一定利润薄，但又看到门店到处开,medium,candidate,
T003,满减优惠券类,外卖满减到底是不是优惠,外卖满减，20、30、5，你以为省了5块，可能是多花了10块,外卖满减,损失厌恶,每次凑满减都觉得赚了，但账单越来越高,low,candidate,
T004,价格差异类,矿泉水为什么有2块和20块,矿泉水，2、8、20，同样是解渴，价格卖的是不同场景,矿泉水,场景定价,觉得水都差不多，却经常在不同场景付不同价格,medium,candidate,
T005,价格差异类,9.9理发和198理发差在哪,理发，9.9、68、198，同一个人不同场合会选择不同价位,理发,场景定价,理发前不知道自己是在买剪头发还是买服务体验,medium,candidate,
T006,价格差异类,平价超市和精品超市卖的到底是不是同一种东西,超市货架，9.9、29.9、59.9，价格差不只在商品，还在筛选和信任,超市货架,价格锚定,买同类商品时，不知道高价到底买到了什么,medium,candidate,
T007,低价商业模式类,拼多多为什么能让你觉得便宜,拼单商品，9.9、19.9、0，便宜感有时比绝对低价更重要,拼单商品,低价引流,明明知道会被推荐更多商品，还是觉得便宜想买,medium,candidate,
T008,低价商业模式类,名创优品为什么像杂货店却能开全球,小商品货架，10、20、30，单价低不代表生意小,小商品货架,低价引流,看到小商品店很普通，却不懂它为什么能规模化,medium,candidate,
T009,低价商业模式类,瑞幸为什么总发券还不倒,咖啡券，9.9、13.9、29，发券不一定是赔钱，可能是在训练你复购,咖啡券,低价引流,习惯等券下单，却不明白商家为什么愿意长期发券,medium,candidate,
T010,会员订阅类,会员店为什么先收你会员费,会员卡，260、299、680，先付费会让你更想把钱花回来,会员卡,会员锁定,还没买东西就先交钱，心里觉得不踏实,medium,candidate,
T011,会员订阅类,视频会员为什么越来越贵,视频会员，15、30、60，单月不贵，长期加起来很贵,视频会员,会员锁定,会员越开越多，却感觉权益越来越碎,medium,candidate,
